t_us,event,tid,info
82411897043,boot,-1,prio
82411897370,ready,0,
82411897371,ready,1,
82411897371,ready,2,
82411897393,run,2,high
82411897397,start,2,high
82411897722,yield,2,
82411897724,run,2,high
82411897907,yield,2,
82411897907,run,2,high
82411898092,qexpire,2,auto-yield
82411898093,run,2,high
82411898093,yield,2,
82411898093,run,2,high
82411898498,qexpire,2,auto-yield
82411898499,run,2,high
82411898499,yield,2,
82411898499,run,2,high
82411898671,qexpire,2,auto-yield
82411898672,run,2,high
82411898672,yield,2,
82411898672,run,2,high
82411898976,qexpire,2,auto-yield
82411898977,run,2,high
82411898978,yield,2,
82411898979,run,2,high
82411898979,finish,2,
82411898996,run,1,mid
82411898996,start,1,mid
82411899163,yield,1,
82411899163,run,1,mid
82411899468,yield,1,
82411899468,run,1,mid
82411899642,qexpire,1,auto-yield
82411899642,run,1,mid
82411899642,yield,1,
82411899643,run,1,mid
82411899868,qexpire,1,auto-yield
82411899869,run,1,mid
82411899869,yield,1,
82411899869,run,1,mid
82411900336,qexpire,1,auto-yield
82411900338,run,1,mid
82411900339,yield,1,
82411900339,run,1,mid
82411900515,qexpire,1,auto-yield
82411900515,run,1,mid
82411900516,yield,1,
82411900516,run,1,mid
82411900516,finish,1,
82411900524,run,0,low
82411900524,start,0,low
82411900775,yield,0,
82411900777,run,0,low
82411901398,yield,0,
82411901400,run,0,low
82411901595,qexpire,0,auto-yield
82411901597,run,0,low
82411901597,yield,0,
82411901598,run,0,low
82411901929,qexpire,0,auto-yield
82411901934,run,0,low
82411901935,yield,0,
82411901936,run,0,low
82411902168,qexpire,0,auto-yield
82411902169,run,0,low
82411902170,yield,0,
82411902170,run,0,low
82411902585,qexpire,0,auto-yield
82411902588,run,0,low
82411902589,yield,0,
82411902589,run,0,low
82411902590,finish,0,
82411902595,halt,-1,
